outsider_form_crh_title;Ôîğìèğîâàíèå Ğåéíñêîãî Ñîşçà;; ;; ;;;;;;;;;x;;;;
outsider_form_crh_desc;Ğåéíñêèé ñîşç (1806-1813) - êîíôåäåğàöèÿ ãåğìàíñêèõ ãîñóäàğñòâ ïîä ïğîòåêòîğàòîì Íàïîëåîíà I   - â ïåğèîä ñâîåãî ñîçäàíèÿ âêëş÷àë 16 ãîñóäàğñòâ Çàïàäíîé è Şæíîé Ãåğìàíèè, â òîì ÷èñëå Áàâàğèş, Âşğòåìáåğã, Áàäåí, Ãåññåí-Äàğìøòàäò, Èçåíáóğã-Áèğøòåéí, Ëèõòåíøòåéí è äğ., êîòîğûå îòäåëèëèñü îò Ñâÿùåííîé Ğèìñêîé èìïåğèè è âñòóïèëè â âîåííûé ñîşç ñ Ôğàíöèåé. Ê 1811 ã. ê íåìó ïğèñîåäèíèëîñü åùå 20 ãîñóäàğñòâ Çàïàäíîé, Ñğåäíåé è Ñåâåğíîé Ãåğìàíèè, â òîì ÷èñëå Ñàêñîíèÿ è Âåñòôàëüñêîå êîğîëåâñòâî.;; ;; ;;;;;;;;;x;;;;
form_crh_title;Ôîğìèğîâàíèå Ğåéíñêîãî Ñîşçà;; ;; ;;;;;;;;;x;;;;
form_crh_desc;Íàøè ãîñïîäñòâóşùåå ïîëîæåíèå â Çàïàäíîé Ãåğìàíèè ïîçâîëÿåò íàì èìåòü ïîëíûé êîíòğîëü íàä ıòèì ğàéîíîì. Ìû ñîáåğåì òåõ êíÿçåé, êòî áóäåò âåğåí íàì è îáúÿâèì î ñîçäàíèè ñîşçà.;; ;; ;;;;;;;;;x;;;;
join_crh_title;Âñòóïëåíèå â Ğåéíñêèé Ñîşç;; ;; ;;;;;;;;;x;;;;
join_crh_desc;Íàøè âûãîäíûå îòíîøåíèÿ ñ Ğåéíñêèì Ñîşçîì ïîçâîëÿşò íàì ñòàòü åãî ÷àñòüş.;; ;; ;;;;;;;;;x;;;;
declare_russian_empire_title;Ôîğìèğîâàíèå Ğîññèéñêîé Èìïåğèè;; ;; ;;;;;;;;;x;;;;
declare_russian_empire_desc;Èñòîğèÿ Ğîññèéñêîé Èìïåğèè - ıòî î÷åğåäíîé ıòàï â Èñòîğèè Âåëèêîé Ğîññèè. Ğîññèş ïî ïğàâó ìîæíî ñ÷èòàòü Âåëèêîé Äåğæàâîé, âåäü íèêîãäà â ìèğå íå áûëî òàêîé îãğîìíîé, âåëè÷åñòâåííîé ñòğàíû, êîòîğàÿ áû ñìîãëà ñïëîòèòü áåñ÷èñëåííîå ìíîãîîáğàçèå êóëüòóğ, òğàäèöèé è íàğîäîâ, ñîâåğøåííî íå ïîõîæèõ äğóã íà äğóãà. Ğîññèéñêàÿ èìïåğèÿ ñëîæèëàñü íà îñíîâå Ğîññèéñêîãî öåíòğàëèçîâàííîãî ãîñóäàğñòâà, êîòîğîå â 1721 Ïåòğ I îáúÿâèë èìïåğèåé.;; ;; ;;;;;;;;;x;;;;
take_austria_title;Ïğèíÿòèå Èìïåğàòîğñêîãî òèòóëà;; ;; ;;;;;;;;;x;;;;
take_austria_desc;Àâñòğèÿ óæå íå èìååò âëàñòè â èìïåğàòîğñêîì äâîğå, ıòî äàåò íàì âîçìîæíîñòü ïğèíÿòü òèòóë èìïåğàòîğà Ñâÿùåííîé Ğèìñêîé Èìïåğèè!;; ;; ;;;;;;;;;x;;;;
take_prussia_title;Ïğèíÿòèå Èìïåğàòîğñêîãî òèòóëà;; ;; ;;;;;;;;;x;;;;
take_prussia_desc;Ïğóññèÿ óæå íå èìååò âëàñòè â èìïåğàòîğñêîì äâîğå, ıòî äàåò íàì âîçìîæíîñòü ïğèíÿòü òèòóë èìïåğàòîğà Ñâÿùåííîé Ğèìñêîé Èìïåğèè!;; ;; ;;;;;;;;;x;;;;
take_bavaria_title;Ïğèíÿòèå Èìïåğàòîğñêîãî òèòóëà;; ;; ;;;;;;;;;x;;;;
take_bavaria_desc;Áàâàğèÿ óæå íå èìååò âëàñòè â èìïåğàòîğñêîì äâîğå, ıòî äàåò íàì âîçìîæíîñòü ïğèíÿòü òèòóë èìïåğàòîğà Ñâÿùåííîé Ğèìñêîé Èìïåğèè!;; ;; ;;;;;;;;;x;;;;
offer_to_prussia_title;Ïğåäëîæåíèå ñòàòü Êîğîëåì!;; ;; ;;;;;;;;;x;;;;
offer_to_prussia_desc;Ìû ëåæàëè ğàçáèòûå è ïîâåğæåííûå,íàøà ñòğàíà äîëæíà áûëà îòäàòü ñåáÿ äğóãîé êîğîíå èç Ïğóññèè.Ïî êğàéíåé ìåğå, ìû áóäåì äåñòàáèëèçèğîâàòü ñèòóàöèş â Åâğîïå ñâîèìè ìó÷åíèÿìè.;; ;; ;;;;;;;;;x;;;;
form_belgium_title;Ôîğìèğîâàíèå Áåëüãèè;;;;;;;;;;;;;x;;;;
form_belgium_desc;Íàøè ïîäâèãè äàëè íàì âîçìîæíîñòü îáúåäèíèòü Áåëüãèş!;;;;;;;;;;;;;x;;;;
end_of_genoa_title;Óíè÷òîæåíèå Ãåíóè!;;;;;;;;;;;;;x;;;;
end_of_genoa_desc;Ñ íà÷àëîì èíäóñòğèàëèçàöèè ñòàğåéøèõ ğåñïóáëèê, êóïöû óòğàòèëè ñâîş ïîëåçíîñòü, è ïîıòîìó Ôğàíöèÿ ïğèñîåäèíèëà îñòğîâ Êîğñèêà âìåñòå ñ òåğğèòîğèåé Ãåíóè. Ğåñïóáëèêà Ãåíóÿ ïåğåñòàëà ñóùåñòâîâàòü.;;;;;;;;;;;;;x;;;;
